ID	FORM	UPOS
1	Мои	PRON
2	планы	NOUN
3	Недавно	ADV
4	я	PRON
5	прочитал	VERB
6	книгу	NOUN
7	о	ADP
8	том	PRON
9	,	PUNCT
10	как	SCONJ
11	ставить	VERB
12	и	CCONJ
13	достигать	VERB
14	цели	NOUN
15	.	PUNCT
16	Поэтому	ADV
17	я	PRON
18	решил	VERB
19	составить	VERB
20	свой	PRON
21	план	NOUN
22	на	ADP
23	год	NOUN
24	.	PUNCT
25	Вот	PRON
26	,	PUNCT
27	как	SCONJ
28	он	PRON
29	выглядит	VERB
30	Улучшить	VERB
31	английский	ADJ
32	язык	NOUN
33	.	PUNCT
34	Я	PRON
35	достаточно	ADV
36	хорошо	ADV
37	говорю	VERB
38	на	ADP
39	английском	NOUN
40	,	PUNCT
41	но	SCONJ
42	,	PUNCT
43	если	SCONJ
44	я	PRON
45	хочу	VERB
46	устроиться	VERB
47	работу	NOUN
48	в	ADV
49	международную	ADJ
50	компанию	NOUN
51	,	PUNCT
52	моего	PRON
53	уровня	NOUN
54	будет	VERB
55	недостаточно	ADV
56	.	PUNCT
57	Мне	PRON
58	нужно	ADJ
59	будет	AUX
60	пройти	VERB
61	дополнительные	ADJ
62	курсы	NOUN
63	бизнес-английского	NOUN
64	и	CCONJ
65	получить	VERB
66	сертификат	NOUN
67	.	PUNCT
68	Сходить	VERB
69	в	ADP
70	поход	NOUN
71	.	PUNCT
72	Я	PRON
73	всегда	ADV
74	хотел	VERB
75	провести	VERB
76	ночь	NOUN
77	на	ADP
78	природе	NOUN
79	.	PUNCT
80	Даже	PART
81	купил	VERB
82	палатку	NOUN
83	.	PUNCT
84	В	ADP
85	этом	PRON
86	году	NOUN
87	я	PRON
88	обязательно	ADV
89	поеду	VERB
90	с	ADP
91	палаткой	NOUN
92	к	ADP
93	морю	NOUN
94	или	CCONJ
95	в	ADP
96	горы	NOUN
97	.	PUNCT
98	Для	ADP
99	этого	PRON
100	мне	PRON
101	надо	ADV
102	будет	AUX
103	разработать	VERB
104	маршрут	NOUN
105	,	PUNCT
106	собрать	VERB
107	друзей	NOUN
108	и	CCONJ
109	организовать	VERB
110	поездку	NOUN
111	.	PUNCT
112	Сдать	VERB
113	на	ADP
114	права	NOUN
115	.	PUNCT
116	Я	PRON
117	давно	ADV
118	откладывал	VERB
119	деньги	NOUN
120	на	ADP
121	машину	NOUN
122	,	PUNCT
123	работая	VERB
124	на	ADP
125	каникулах	NOUN
126	и	CCONJ
127	по	ADP
128	вечерам	NOUN
129	.	PUNCT
130	Но	CCONJ
131	,	PUNCT
132	прежде	ADV
133	чем	SCONJ
134	купить	VERB
135	авто	NOUN
136	,	PUNCT
137	мне	PRON
138	надо	ADV
139	получить	VERB
140	права	NOUN
141	.	PUNCT
142	В	ADP
143	этом	PRON
144	году	NOUN
145	я	PRON
146	запишусь	VERB
147	в	ADP
148	школу	NOUN
149	вождения	NOUN
150	,	PUNCT
151	пройду	VERB
152	обучение	NOUN
153	,	PUNCT
154	выучу	VERB
155	правила	NOUN
156	дорожного	ADJ
157	движения	NOUN
158	и	CCONJ
159	сдам	VERB
160	экзамен	NOUN
161	.	PUNCT
162	Я	PRON
163	полон	ADJ
164	решимости	NOUN
165	достичь	VERB
166	своих	PRON
167	целей	NOUN
168	в	ADP
169	этом	PRON
170	году	NOUN
171	.	PUNCT
172	Когда	ADV
173	я	PRON
174	окончил	VERB
175	университет	NOUN
176	,	PUNCT
177	то	CCONJ
178	начал	VERB
179	ходить	VERB
180	по	ADP
181	собеседованиям	NOUN
182	в	ADP
183	разные	ADJ
184	компании	NOUN
185	.	PUNCT
186	Я	PRON
187	учился	VERB
188	на	ADP
189	экономиста	NOUN
190	и	CCONJ
191	хотел	VERB
192	работать	VERB
193	в	ADP
194	финансовой	ADJ
195	компании	NOUN
196	.	PUNCT
197	И	CCONJ
198	вот	PRON
199	,	PUNCT
200	наконец-то	ADV
201	,	PUNCT
202	меня	PRON
203	приняли	VERB
204	на	ADP
205	работу	NOUN
206	.	PUNCT
207	Это	PRON
208	была	VERB
209	крупная	ADJ
210	инвестиционная	ADJ
211	компания	NOUN
212	.	PUNCT
213	Первый	ADJ
214	день	NOUN
215	в	ADP
216	офисе	NOUN
217	был	VERB
218	очень	ADV
219	волнительный	ADJ
220	.	PUNCT
221	Я	PRON
222	подготовил	VERB
223	деловой	ADJ
224	костюм	NOUN
225	заранее	ADV
226	,	PUNCT
227	чтобы	SCONJ
228	выглядеть	VERB
229	профессионально	ADV
230	.	PUNCT
231	Меня	PRON
232	познакомили	VERB
233	со	ADP
234	всеми	PRON
235	сотрудниками	NOUN
236	компании	NOUN
237	и	CCONJ
238	с	ADP
239	боссом	NOUN
240	Юрием	PROPN
241	Викторовичем	PROPN
242	.	PUNCT
